epoch,loss,val_loss
0,0.0625999710391,0.0395884593067
1,0.0559659070968,0.041246960942
2,0.0540086684883,0.0370569270483
3,0.0522779930441,0.0379619880153
4,0.0514551002738,0.038259763902
5,0.0503765557157,0.0364227530831
6,0.0494105647589,0.0363485901182
7,0.0488052139955,0.0380314945172
8,0.0480953441872,0.0357503655714
9,0.0472491898822,0.0377590939071
epoch,loss,val_loss
0,0.0597733842755,0.0387071067312
1,0.0521007240963,0.0367712206128
2,0.0507710316166,0.0347780957266
3,0.0477233652874,0.0355262671424
4,0.0472892758223,0.0369107959224
epoch,loss,val_loss
0,0.0454766519286,0.0260923315819
1,0.0403117793108,0.0244912620561
2,0.0389285637775,0.0260602383644
3,0.0376466056878,0.0244036654864
4,0.0368185516321,0.0264779531455
